id,name,label,superclass,classification,subclass,family,distribution,designer,weight,rg,extra condensed,compressed,condensed,wide,extra wide,display,caption,soft,character,cap48,x48,xheight,counter,adjust,about,history,usage,whattheysay,link,pairing,google,stylesheet,100 Greatest Fonts,Google Ranking,Typewolf Google,Typewolf Adobe,100 Greatest Score,Google Ranking Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,Score,Quality,Utility,Underrated Boost,In Use Boost,Rating,Year,Vibe,inuse,status
52,Inter,Inter,Sans,Grotesque,NeoGrotesque,,Google,Rasmus Andersson,100..900;100..900i,100..900;100..900i,,,,,,,,,0,35,26,1.35,38%,1.04477611940299,,"Inter is probably the best open source typeface available, Inter reinvention of the neo-grotesque for the digital era. First released by Rasmus Andersson in 2017, it has expanded to 2000 characters supporting 147 characters and it has been used for a range of purposes from marketing material to labelling medical equipment.","With a slightly higher x-height and wider open counters, Inter is suitable for everything from UI labels to body text. If you are looking for something a bit different, there are plenty of options for configuring alternate characters and it is overall warmer and less austere than the older neo-grotesques. It is the default font for Tailwind, so if branding is important be careful using it as the only font in your design. Luckily, it pairs well with pretty much everything.",Inter is a variable font family carefully crafted & designed for computer screens. Inter features a tall x-height to aid in readability of mixed-case and lower-case text.,https://fonts.google.com/specimen/Inter,,,,,10,2,,,44,21,,15,50.6666666666667,10,10,,15,166,2017,Neutral,Evernote;Notion;Peloton,
53,Interstate,Interstate,Sans,Geometric,DIN,Interstate,Adobe,Tobias Frere-Jones;Frere-Jones Type,100;100i;200;200i;300;300i;400;400i;500;500i;700;700i;800;800i;900;900i,100;100i;200;200i;300;300i;400;400i;500;500i;700;700i;800;800i;900;900i,,100;100i;200;200i;300;300i;400;400i;500;500i;700;700i;800;800i;900;900i,100;100i;200;200i;300;300i;400;400i;500;500i;700;700i;800;800i;900;900i,,,,,,3,33.5,25,1.34,70%,1,"<br/>  Efficient and gruff, Interstate has become a favorite for branding, packaging, publications, and more. The family is a reinterpretation of Highway Gothic, which has been the official typeface for American highway signage for decades. Its design is ultimately based on signage alphabets developed in the late 1940s by Dr. Theodore Forbes, assisted by J.E. Penton and E.E. Radek. The family was expanded to include full support for Central and Eastern Europe languages, as well as Cyrillic and Greek.<br/><br/><br/>For additional license options like app and enterprise, visit Interstate on Type Network.<br/><br/><br/>","Interface is a grotesque designed by Tobias Frere-Jones, first released in 1993. It is based on “Style Type E”, a font typeface designed by Dr. Theodore Forbes for the Standard Alphabets For Traffic Control Devices (informally known as Highway Gothic). Interstate has been modified for use at smaller sizes and on screens whilst retaining some of the notable characteristics of Highway Gothic.  ","Interstate remains popular for a range of applications due its origins as a font designed for legibility. Its has a high x-height and open counters and has been reworked to look great at every size. It has highly distinctive ascending, descending and curved stroke, which might be a little too opinionated for some applications. ","Efficient and gruff, Interstate has become a favorite for branding, packaging, publications, and more.",https://fonts.adobe.com/fonts/interstate,,Overpass,ljr4jdi,14,,,,12,,,,,24,10,9,,5,119,1993,Technical,Berry Good,
54,Interstate Mono,Interstate Mono,Mono,GeometricMono,Mono,Interstate,Adobe,Tobias Frere-Jones;Frere-Jones Type,300;400;700;800;,300;400;700;800;,,,,,,,,,3,33.5,25,1.34,,1,"Efficient and gruff, Interstate has become a favorite for branding, packaging, publications, and more. The family is a reinterpretation of Highway Gothic, which has been the official typeface for American highway signage for decades. Its design is ultimately based on signage alphabets developed in the late 1940s by Dr. Theodore Forbes, assisted by J.E. Penton and E.E. Radek. The family was expanded to include full support for Central and Eastern Europe languages, as well as Cyrillic and Greek.",,,,https://fonts.adobe.com/fonts/interstate-mono,NeoGrotesque;MetaSerif;Slab;,Overpass Mono,aos4ysm,,,,,,,,,,0,10,4,,,40,1993,Neutral,,REMOVE
55,IvyPresto Display,IvyPresto,Serif,Contemporary,Glyphic,,Adobe,Jan Maack;Ivy Foundry,100;100i;300;300i;400;400i;600;600i;700;700i;,100;100i;300;300i;400;400i;600;600i;700;700i;,,,,,,IvyPresto Text-100;100i;300;300i;400;400i;600;600i;700;700i;,,,4,35,25,1.40,,1.04477611940299,"IvyPresto is an Old Style (or Garalde) Display family based on the works of Hendrik van den Keere. The large x-height, thin serifs, hairlines, and narrow proportions makes IvyPresto ideal for Display use. An extensive range of weights and two optical sizes allows for plenty of flexibility for all your typesetting needs. The Ivy Foundry, 2020.",,,,https://fonts.adobe.com/fonts/ivypresto-display,Optima;Futura;Neuzeit;Garamond;Caslon;,,cul0cor,,,,,,,,9,,18,9,8,,,90,2020,Elegant,,Retain (Fills niche)
56,JetBrains Mono,JetBrains Mono,Mono,GeometricMono,Mono,,Google,JetBrains;Philipp Nurullin;Konstantin Bulenkov,100..800;100..800i,100..800;100..800i,,,,,,,,,2,35,26.5,1.32,37%,1.04477611940299,"<br/>    JetBrains Mono is a typeface made for the specific needs of developers. Find more informations about font features, design and language support on www.jetbrains.com/.<br/><br/><br/><br/>    JetBrains Mono is designed by Philipp Nurullin and Konstantin Bulenkov. To contribute, see github.com/JetBrains/JetBrainsMono<br/>",,,,https://fonts.google.com/specimen/JetBrains+Mono,DIN;,,,,48,,,,6,,,15,17,7,4,,,45,2020,Technical,,REVIEW
57,Jost,Jost,Sans,Geometric,Futura,,Google,Owen Earl,100..900;100..900i,100..900;100..900i,,,,,,,,,3,33.5,22,1.52,81%,1,"Jost is an original font created by indestructible type*. It is inspired by 1920s German sans-serifs. This is version 3.7. Jost is designed and maintained by Owen Earl, who is the creator of the font foundry indestructible type*. in 2020 Owen Earl, and Mirko Velimirovic worked together to make Jost a variable font. If you have questions or want to help out, please contribute at github.com/indestructible-type/Jost.","Jost is a geometric sans designed by Owen Earl. It was first released through his own indestructible type* foundry in 2020 and is now available through Google. It is heavily influenced by Futura, but has been redesigned for digital applications.",Jost is an excellent choice if you are looking for an open source alternative to Futura. Its also great if you are looking for a more functional Futura or a more stylish take on Proxima or other geometric sans serifs. Its higher x-height improves legibility at smaller sizes and it pairs well with a range of other fonts. Some limitations in the letterform design can be revealed at display sizes but still looks good there as well. ,"Jost* aims to keep the attitude of Futura rather than the exact design. Futura was designed to be functional in its day, and in that spirit, Jost* aims to be as functional as possible in the digital era.",https://fonts.google.com/specimen/Jost,,,,,32,,,,22,,,15,22.3333333333333,9,9,10,5,118,2018,Elegant,Merge Records,
58,Karla,Karla,Sans,Grotesque,Blake,,Google,Jonny Pinhorn,200..800;200..800i,200..800;200..800i,,,,,,,,,6,30,23,1.30,36%,0.895522388059701,"Karla is a grotesque sans serif family which has been expanded now to a variable font with a weight axis ranging from ExtraLight to ExtraBold plus full support of Western, Central, and South-Eastern European languages.  <br/> To contribute, see github.com/googlefonts/karla.",A slightly quirky grotesque (see the tail on the q and exaggerated a). Pair with contemporary serifs and slabs that bring out its playful side.,,,https://fonts.google.com/specimen/Karla,Times;Baskerville,,,,19,23,,,35,9,,15,35.6666666666667,8,8,,5,105,2012,Quirky,The Hollywood Reporter,
59,League Spartan,League Spartan,Sans,Geometric,Neuzeit,,Google,Matt Bailey;Tyler Finck,100;200;300;400;500;600;700;800;900,100;200;300;400;500;600;700;800;900,,,,,,,,,1,31.5,19.5,1.62,,0.940298507462687,"League Spartan is The League Of Moveable Type's interpretation of Matt Bailey's Spartan, a typeface based on early 20th century American geometric sans serifs.",,,,https://fonts.google.com/specimen/League+Spartan/,Frutiger;Johnston;Meta;Optima;MetaSerif;Times;,,,,,,,,,1,,,1,8,8,10,,75,2021,Neutral,,
60,Lexend,Lexend,Sans,Geometric,Proxima,,Google,Bonnie Shaver-Troup;Thomas Jockin;Santiago Orozco;Héctor Gómez;Superunion,100..900,100..900,,,,,,,,,4,33.5,25,1.34,,1,"Lexend fonts are intended to reduce visual stress and so improve reading performance. Initially they were designed with dyslexia and struggling readers in mind, but Bonnie Shaver-Troup, creator of the Lexend project, soon found out that these fonts are also great for everyone else.
The first set of Lexend fonts by Thomas Jockin ( Deca, Exa, Giga, Mega, Peta, Tera, Zetta) becomes wider and more openly spaced (also known as ""tracked out""). This new version of Lexend is a variable font with a weight axis.
Please note that the initial release of this font had a lighter Regular weight. It has been decided for the update of July 2021 to align the Regular weight with the one of Lexend Deca which is slightly bolder. Lexend and Lexend Deca are therefore the same (for now…). Ultimately this version will offer a HyperExpansion axis which will allow variation of inner and outer space of letterforms.
True to Bonnie’s vision, Lexend fonts are freely available for all since 2019 in Google Fonts.
To contribute, see github.com/googlefonts/lexend. For more information, see lexend.com.",,,,https://fonts.google.com/specimen/Lexend,NeoGrotesque;Johnston;Frutiger,,,,48,,,,6,,,,2,7,7,,10,61,2021,Neutral,HubSpot;Granta,
61,Libre Baskerville,Libre Baskerville,Serif,Transitional,Baskerville,,Google,Impallari Type;John Baskerville,400;400i;700,400;400i;700,,,,,,,,,5,37,25.5,1.45,60%,1.1044776119403,"<br/>Libre Baskerville is a web font optimized for body text (typically 16px.)<br/>It is based on the American Type Founder's Baskerville from 1941, but it has a taller x-height, wider counters and a little less contrast, that allow it <br/>to work well for reading on-screen.<br/><br/><br/>Join the project at <br/>github.com/impallari/Libre-Baskerville<br/>","A good reproduction of Baskerville. The higher x-height and overall darker colour might make this a better choice than the Adobe version, although as it is optimized at 16px, larger sizes reveal some inelegance in the letter forms.",,,https://fonts.google.com/specimen/Libre+Baskerville,Futura;Neuzeit;,,,,20,21,,,34,11,,-5,17.3333333333333,5,6,,5,52,1754,Elegant,Heifer International,
62,Libre Caslon Text,Libre Caslon Text,Serif,Old Style,Caslon,,Google,Impallari Type;William Caslon I,400;400i;700,400;400i;700,,,,,,,,,5,37,25.5,1.45,47%,1.1044776119403,"<br/>  Libre Caslon Text is optimized for web body text (typically set at 16px), whilst the companion family<br/>  Libre Caslon Display is optimized for web headlines.<br/><br/><br/><br/>  Libre Caslon Text was specifically tailored to be used for web body text (typically set at 16px). It can be used at very small sizes and will still be readable on your website.<br/><br/><br/><br/>  Another big difference is that pretty much all other digital Caslons revivals are based on 18th Century specimens by William Caslon I and William Caslon II. Libre Caslon, instead, is based on hand lettering artist Caslon interpretations typical of 1950s advertising.<br/><br/><br/><br/>  This font was upgraded in early 2020 and is now available as a variable font.<br/><br/><br/><br/>  To contribute, see github.com/thundernixon/Libre-Caslon<br/>","A modern open source recreation of Caslon, Libre Caslon is a high quality old-style serif that pairs well with some of the quirkier sans serifs like Questa, Scala and Outfit.",,,https://fonts.google.com/specimen/Libre+Caslon+Text,Blake;Johnston;Neuzeit,,,,43,,,,11,,,15,18.6666666666667,7,7,,5,73,1725,Elegant,Glamour,
63,Libre Franklin,Libre Franklin,Sans,Grotesque,Franklin,,Google,Impallari Type;Morris Fuller Benton,100..900;100..900i,100..900;100..900i,,,,,,,,,2,35.5,25.5,1.39,52%,1.05970149253731,"<br/>Libre Franklin is an interpretation and expansion of the 1912 Morris Fuller Benton classic. <br/><br/><br/>The Libre Franklin project is led by Impallari Type, a type design foundry based in Rosario, Argentina. <br/>To contribute, see github.com/impallari/Libre-Franklin<br/>","A decent free interpretation of Franklin Gothic. Feels less classic than the original Franklin, and works better paired with contemporary sans/serifs and slab serifs. Slight more generous proportions make this a better choice at small sizes. At larger sizes, it becomes apparent that the letterforms are slightly rounded.",,,https://fonts.google.com/specimen/Libre+Franklin,Blake;MetaSerif;Slab;,,,,21,7,,,33,17,,,28,4,6,,15,67,1902,Neutral,Intelligencer;Environmental Defence Fund;University of Minnesota Press,
64,Logic Monospace,Logic Monospace,Mono,GrotesqueMono,Mono,,Adobe,Jeremy Mickel;MCKL,300;300i;400;400i;500;500i;700;700i;800;800i,300;300i;400;400i;500;500i;700;700i;800;800i,,,,,,,,,5,28,20.5,1.37,,0.835820895522388,,,,,https://fonts.adobe.com/fonts/logic-monospace,Franklin;Blake;,IBM Plex Mono,seq8bzu,,,,,,,,,,0,9,5,10,5,60,2020,Quirky,The Atlantic,
65,Lora,Lora,Serif,Transitional,Times,,Google,Cyreal,400..700;400..700i,400..700;400..700i,,,,,,,,,2,33.5,24,1.40,42%,1,"Lora is a well-balanced contemporary serif with roots in calligraphy. It is a text typeface with moderate contrast well suited for body text.<br/>A paragraph set in Lora will make a memorable appearance because of its brushed curves in contrast with driving serifs. The overall typographic voice of Lora perfectly conveys the mood of a modern-day story, or an art essay.<br/>Technically Lora is optimised for screen appearance, and works equally well in print.<br/>In March 2019, the family has been updated to a variable font family.<br/>To contribute, see github.com/cyrealtype/Lora-Cyrillic.","A free font designed for reading on screen, Lora has plenty of details that create a fun mood. In a class where class and sophistication are often the goal, Lora feels fun and light-hearted. A great alternative when Georgia feels too austere.",,,https://fonts.google.com/specimen/Lora,NeoGrotesque;Franklin;Frutiger;Johnston;Meta;Optima;Neuzeit;Proxima;,,,,8,,,,46,,,,15.3333333333333,8,8,,10,89,2011,Neutral,Teach For America;Domino Records,
66,P22 Mackinac Pro,P22 Mackinac Pro,Serif,Contemporary,Windsor,,Adobe,Mike Beens;P22 Type Foundry,400;400i;500;500i;700;700i;800;800i,400;400i;500;500i;700;700i;800;800i,,,,,,,,,8,34.5,25,1.38,,1.02985074626866,"P22 Mackinac Pro is a general-purpose, utilitarian family incorporating loads of OpenType features. Versatile for text and display uses; including advertising, publishing, signage and packaging.",,,,https://fonts.adobe.com/fonts/p22-mackinac,Johnston;Futura;Blake;,,wdt7bva,,,,,,,,,,0,9,8,15,5,92,2011,Quirky,Evernote,
67,Merriweather,Merriweather,Serif,Contemporary,MetaSerif,Merriweather,Google,Sorkin Type,300;300i;400;400i;700;700i;900;900i,300;300i;400;400i;700;700i;900;900i,,,,,,,,,1,35.5,26.5,1.34,50%,1.05970149253731,"Merriweather was designed to be a text face that is pleasant to read on screens. It features a very large x height, slightly condensed letterforms, a mild diagonal stress, sturdy serifs and open forms.  <br/> There is also Merriweather Sans, a sans-serif version which closely harmonizes with the weights and styles of this serif family.  <br/> The Merriweather project is led by Sorkin Type, a type design foundry based in Western Massachaussets, USA. To contribute, see github.com/SorkinType/Merriweather",Popular contemporary serif similar to FF Meta Serif. Generous x-height makes it good for body copy. It was perhaps at one point one of the better serifs on Google Fonts which means it has been overused and it is a little bland and ungainly at larger sizes. Looks good paired with Fruitger and Meta style humanists and some of the quirky Blake-style grotesques.,,,https://fonts.google.com/specimen/Merriweather,Frutiger;Meta;Blake;,,,,7,,,,47,,,15,30.6666666666667,6,5,,15,76,2010,Neutral,Quanta;USA Gov;CARE;Max Planck Institute,
68,Merriweather Sans,Merriweather Sans,Sans,Humanist,Frutiger,Merriweather,Google,Sorkin Type,300..800;300..800i,300..800;300..800i,,,,,,,,,1,35.5,26.5,1.34,89%,1.05970149253731,"Merriweather Sans is a low-contrast semi-condensed sans-serif text typeface family designed to be pleasant to read at very small sizes. Merriweather Sans is traditional in feeling despite the modern shapes it has adopted for screens. <br/>Merriweather Sans is an evolving project and will be updated. As of now there are 8 styles: Light, Regular, Bold, and ExtraBold weights in Roman and Italic styles. <br/>There is also Merriweather, a serif version which closely harmonizes with the weights and styles of this sans-serif family. <br/>Designed by Eben Sorkin, Merriweather Sans features a large x height, slightly condensed letterforms, a mild diagonal stress and open forms. <br/>Merriweather Sans is a work in progress and will be improved regularly. This means you can request improvements and even fund specific features if if they are outside of the current scope of work. For more information and to stay updated see Eben Sorkin's blog and Flickr stream, and the MerriweatherFnt Twitter microblog. <br/>Updated in June 2013 with italic styles. <br/> Updated in January 2016: This revision improves on-screen rendering especially at text sizes with ttfautohint hinting. Merriweather Sans will work better when installed on desktops. Some OpenType features were added and improved. Since the vertical and horizontal metrics changed, this may cause some text to reflow in some browsers. A second update (v1.006) was made on 1/25 to fix ligatures and other digraphs.  <br/>To contribute, see github.com/SorkinType/Merriweather-Sans.","Decent Frutiger-style humanist serif. Slightly bowed bowls on P, R, B combined with slightly chunky proportions make this font a little more lively than other humanist sans. Can easily be paired with it’s serif counter part and also has a generous x height for easy reading.",,,https://fonts.google.com/specimen/Merriweather+Sans,MetaSerif;Slab;,,,,25,40,,,29,,,,9.66666666666667,6,7,,,52,2013,Neutral,,REVIEW
69,FF Meta Serif Web Pro,Meta Serif Pro,Serif,Contemporary,MetaSerif,Meta,Adobe,Botio Nikoltchev;Christian Schwartz;Erik Spiekermann;Kris Sowersby;Ralph du Carrois;FontFont,300;300i;500;500i;600;600i;700;700i;800;800i;900;900i,300;300i;500;500i;600;600i;700;700i;800;800i;900;900i,,,,,,,,,4,33,23.5,1.40,54%,0.985074626865672,<br/>  License FF Meta Serif on MyFonts<br/><br/><br/>,"A part of the Meta family, Meta Serif exemplifies the contemporary serif and probably inspired Merriweather, PT Serif and IBM Plex. With a moderate x-height and balanced overall colour, Meta Serif works just about anywhere including the full range of humanist serifs and some of the more characterful grotesques.",,,https://fonts.adobe.com/fonts/ff-meta-serif,Frutiger;Johnston;Meta;Blake;,IBM Plex Serif,xee7vna,18,,,,11,,,,,22,10,8,,,102,1991,Neutral,,"Retain (High quality, paired)"
70,Minion Pro,Minion Pro,Serif,Old Style,Garamond,,Adobe,Robert Slimbach,400;400i;500;500i;600;600i;700;700i,400;400i;500;500i;600;600i;700;700i,,,400;400i;500;500i;600;600i;700;700i,,,400;400i;500;500i;600;600i;700;700i,400;400i;500;500i;600;600i;700;700i,,1,31,20.5,1.51,66%,0.925373134328358,"Minion Pro is inspired by classical, old style typefaces of the late Renaissance, a period of elegant, beautiful, and highly readable type designs. Minion Pro combines the aesthetic and functional qualities that make text type highly readable with the versatility of OpenType digital technology, yielding unprecedented flexibility and typographic control, whether for lengthy text or display settings.","Minion is a modern interpretation of the old-style serifs like Garamond. It was designed by Robert Slimbach, who also designed Adobe Garamond, in 1990. It pares down some of the more eccentric features of the older serifs and is optimised for modern design applications - for example, it has wider open counters and higher x-heights. It is one of the default fonts on Adobe’s products, and is very popular for book design - it was famously used for typesetting The Elements Of Typographic Style by Robert Bringhurst. ","Despite its popularity in book design, it is a little under-used in web and user interface design. It balances elegance and functionality which might make it a great choice for an e-commerce site that needs to convey a brand whilst providing functional UI components. It is also a great choice for publishing and long-form articles, though is potentially a little bland at larger sizes.","Minion Pro is inspired by classical, old style typefaces of the late Renaissance, a period of elegant, beautiful, and highly readable type designs. Minion Pro combines the aesthetic and functional qualities that make text type highly readable with the versatility of OpenType digital technology, yielding unprecedented flexibility and typographic control, whether for lengthy text or display settings.",https://fonts.adobe.com/fonts/minion,Johnston;Neuzeit;,Cardo,jda0jat,30,,,9,8,,,18,15,49,10,8,,10,139,1990,Elegant,Smithsonian;Gagosian,
71,Montserrat,Montserrat,Sans,Geometric,Proxima,,Google,Julieta Ulanovsky;Sol Matas;Juan Pablo del Peral;Jacques Le Bailly,100..900;100..900i,100..900;100..900i,,,,,,,,,2,33.5,25.5,1.31,68%,1,"The old posters and signs in the traditional Montserrat neighborhood of Buenos Aires inspired Julieta Ulanovsky to design this typeface and rescue the beauty of urban typography that emerged in the first half of the twentieth century. As urban development changes that place, it will never return to its original form and loses forever the designs that are so special and unique. The letters that inspired this project have work, dedication, care, color, contrast, light and life, day and night! These are the types that make the city look so beautiful. The Montserrat Project began with the idea to rescue what is in Montserrat and set it free under a libre license, the SIL Open Font License.  <br/> This is the normal family, and it has two sister families so far, Alternates and Subrayada. Many of the letterforms are special in the Alternates family, while 'Subrayada' means 'Underlined' in Spanish and celebrates a special style of underline that is integrated into the letterforms found in the Montserrat neighborhood.  <br/> Updated November 2017: The family was redrawn by Jacques Le Bailly at Baron von Fonthausen over the summer, and the full set of weights were adjusted to make the Regular lighter and better for use in longer texts. In fall, Julieta Ulanovsky, Sol Matas, and Juan Pablo del Peral, led the development of Cyrillic support, with consultation with Carolina Giovagnoli, Maria Doreuli, and Alexei Vanyashin.  <br/> The Montserrat project is led by Julieta Ulanovsky, a type designer based in Buenos Aires, Argentina. To contribute, see github.com/JulietaUla/Montserrat","Montserrat is a geometric sans serif, first released by Julieta Ulanovsky in 2010. It was inspired by the signage in the Montserrat neighborhood of Buenos Aires. It has been significantly revised a number of times since its first release and it comes in a range of weights and also has a set of stylistic alternates.","As the closest free alternative to Gotham, Proxima and Avenir, Montserrat has become one of the most popular fonts on Google. It is probably now a little overused, and is often used inappropriately as the only font in a design system. However, when used correctly it still looks great and can compete with the other premium fonts in this class. It was inspired by signage, and looks great at display sizes in heavier weights. It also looks great for smaller UI labels and its capitals look particularly strong. Montserrat falls down when used for longer paragraph text - its overall color is too light and its letterforms are too wide, giving the impression that it has been chosen as a “default” Google font rather than properly selected for the task. Try finding a suitable pairing if you need to include longer copy in your design.",The old posters and signs in the traditional Montserrat neighborhood of Buenos Aires inspired Julieta Ulanovsky to design this typeface and rescue the beauty of urban typography that emerged in the first half of the twentieth century.,https://fonts.google.com/specimen/Montserrat,,,,,2,29,,,52,7,,15,39.3333333333333,8,9,,15,126,2010,Neutral,Hootsuite;Musee d’Orsay;Brooklyn Bicycle Co,
72,Moret,Moret,Serif,Contemporary,Glyphic,,Adobe,Jamie Chang;The Northern Block,300;300i;400;400i;600;600i;700;700i;800;800i,300;300i;400;400i;600;600i;700;700i;800;800i,,,,,,,,,6,31,24,1.29,75%,0.925373134328358,"<br/>  Moret is a serif display type family inspired by 20th century European sign painting. With 10 weights and 466 glyphs per font, Moret supports 94 different languages.<br/><br/><br/>",,,,https://fonts.adobe.com/fonts/moret,Optima;Futura;Neuzeit;Garamond;Caslon;,Fraunces,djr1ywh,,,,23,,,,10,,10,9,5,,,55,2019,Elegant,,REVIEW
73,Myriad Pro,Myriad Pro,Sans,Humanist,Frutiger,,Adobe,Carol Twombly;Robert Slimbach,300;300i;400;400i;600;600i;700;700i;900;900i,300;300i;400;400i;600;600i;700;700i;900;900i,,Condensed-300;300i;400;400i;600;600i;700;700i;900;900i,Semi Condensed-300;300i;400;400i;600;600i;700;700i;900;900i,SemiExtended-300;300i;400;400i;600;600i;700;700i;900;900i,,,,,1,32.5,23,1.41,93%,0.970149253731343,"<br/>  An Adobe Originals design first released in 1992, Myriad has become popular for both text and display composition. As an OpenType release, Myriad Pro expands this sans serif family to include Greek and Cyrillic glyphs, as well as adding oldstyle figures and improving support for Latin-based languages. The full Myriad Pro family includes condensed, normal, and extended widths in a full range of weights. Designed by Robert Slimbach &amp; Carol Twombly with Fred Brady &amp; Christopher Slye, Myriad has a warmth and readability that result from the humanistic treatment of letter proportions and design detail. Myriad Pro’s clean open shapes, precise letter fit, and extensive kerning pairs make this unified family of roman and italic an excellent choice for text typography that is comfortable to read, while the wide variety of weights and widths in the family provide a generous creative palette for even the most demanding display typography. Patent Design pending.<br/><br/><br/>","Myriad is a humanist sans designed by Robert Slimbach and Carol Twombly and released by Adobe Originals in 1992. It was adopted by Apple for their branding between 2002 and 2017. Perhaps to due to its association with Apple and its status as a default font in Adobe’s products, it is possibly a little under used these days, particularly given the popularity of the similar Source Sans, also from Adobe.","Myriad is a workhorse that feels warm yet stately. If its neutral tone is too bland, there are range of weights and widths you can experiment with, and with an x-height sitting towards the median, this font pairs well with plenty of other fonts.",Myriad has a warmth and readability that result from the humanistic treatment of letter proportions and design detail. ,https://fonts.adobe.com/fonts/myriad,Garamond;Caslon;,Source Sans 3,uyz3fxv,31,,,,7,,,,15,29,10,10,,5,134,1992,Neutral,Instructables,
74,Neue Haas Grotesk,Neue Haas Grotesk,Sans,Grotesque,NeoGrotesque,,Adobe,Max Miedinger;Eduard Hoffmann;Christian Schwartz,400;400i;500;500i;700;700i,Text-400;400i;500;500i;700;700i,,,,,,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,,0,36,26,1.38,32%,1.07462686567164,,"Neue Haas Grotesk is a recreation of Helvetica to its original specification and under its original name. Helvetica is probably the most famous typeface in the world, but it has been revised a number of times since it was first conceived in 1957. Christian Schwarz designed this restoration for Bloomburg Businessweek in 2010.","If your brand is design-forward and you want that authentic mid-century look, Neue Haas Grotesk is a great choice. However, when designing functional user interfaces, the updated Helvetica Neue, San Francisco (both included with MacOS) or Inter might be better alternatives.","Bringing Miedinger's original Neue Haas Grotesk back to life with as much fidelity to his original shapes and spacing as possible, rather than trying to rethink Helvetica or improve on current digital versions.",https://fonts.adobe.com/fonts/neue-haas-grotesk,Franklin;Times;,Inter,lry7sff,1,,,8,18,,,19,,55,10,8,,15,150,1957,Neutral,Whitney;ArtCenter;Billboard,
75,Neue Haas Unica,Neue Haas Unica,Sans,Grotesque,NeoGrotesque,,Adobe,"André Gürtler, Christian Mengelt;Erich Gschwind;Toshi Omagari",100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,,,,,,,,0,34,24.5,1.39,29%,1.01492537313433,"Neue Haas Unica™ is Monotype’s revival of a typeface that has attained almost mythical status in the type community. Unica® was an attempt to create the ultimate sans-serif – a hybrid of Helvetica, Univers and Akzidenz Grotesk. Designed by Team ’77 and released to great acclaim in 1980, Unica went missing under a heap of legal disputes and has never been available as a full, digital typeface. Until now. Unica’s story starts in the 1970s. Electronic, on-screen phototypesetting was gaining popularity, but most sans-serif typefaces on the market had been designed earlier, in the era of metal type. The revered Haas Type Foundry in Münchenstein, Switzerland, saw the chance to develop a new sans-serif face that was optimized for the new technology and filled the gap in the market. To develop their new product, they turned to Swiss type design trio, Team ’77 (André Gürtler, Christian Mengelt and Erich Gschwind).
Team ’77 set out to design a font based on Helvetica but drawing on other sans-serif typefaces, principally Univers. The name they gave it would also be a hybrid of the two.
They went about the task with forensic rigour. Working from prints of Helvetica, Univers and Akzidenz Grotesk, the trio identified, compared and evaluated the finest of details, creating a new-generation sans-serif that eliminated the imperfections of its predecessors. “Unica was designed to be different,” said André Gürtler; “sharper than Helvetica, warmer than Univers, cleaner than Akzidenz.”
Released in 1980, Unica hit the sweet spot. It was clean, understated and elegant. But it found only limited success. Desktop publishing software rendered phototypesetting obsolete. Unica became entangled in a dispute over ownership and disappeared from the market. The typographic love-child became the lost child.
Lost no more. For 2015, Monotype’s Toshi Omagari has given this classic a fresh, digital lease of life, with a full set of weights, an extended range of glyphs and multi-language support.
","Neue Haas Unica is a revival of the neo-grotesque Unica. Unica was designed by Team ’77 (André Gürtler, Christian Mengelt and Erich Gschwind) and released in 1980. It was intended to be a hybrid of Helvetica, Univers and Akzidenz Grotesk - hence the name. Unica was released for a new format, phototypesetting, which quickly became obsolete and was then tied up in a legal dispute which prevented it making the transition to digital typesetting. It was finally recreated by for Monotype by Toshi Omagari.","Unica is a no-nonsense neo-grotesque with even fewer frills and ornaments than Helvetica and Neue Haas Grotesk. It also has more generous spacing than earlier grotesques and easier to read for long-form copy. If you are looking for a design-forward alternative to Helvetica where its austere tone is suitable, Neue Haas Unica is a great choice. However, if you are looking for a practical sans for UI labels and form components, Unica might not be the best choice.","Unica was designed to be different - sharper than Helvetica, warmer than Univers, cleaner than Akzidenz.",https://fonts.adobe.com/fonts/neue-haas-unica,Meta;Franklin;DIN;Neuzeit;,Inter,fyj5txg,,,,10,,,,17,,17,10,9,10,15,132,1980,Neutral,ArtReview;Design Observer;Bella Union,
